P,D,A,M,S
-4,4,-4,4,4
-14,14,6,-6,10
-18,18,10,-10,-4
-16,20,8,-12,2
-32,4,24,4,16
-29,1,27,1,3
-33,5,31,-3,4
-39,-1,37,3,6
