P,D,A,M,S
-1,1,1,-1,1
-5,5,-3,3,4
-9,1,1,7,4
-11,-1,3,9,2
-7,-5,7,5,-4
-10,-2,4,8,3
-9,-3,3,9,1,TA
-7,-5,1,11,2
