A,P,M,D,S
-6,18,-6,-6,18,-6
-4,16,-4,-8,2
-5,15,-3,-7,-1
-6,14,-2,-6,1,TA
-4,12,-4,-4,2
-10,6,2,2,6
-4,0,-4,8,-6
-4,0,-4,8,0
-2,2,-6,6,2
2,6,-10,2,4
-8,16,-20,12,-10
-9,17,-19,11,1
