A,P,D,M,S
-14,14,-14,14,14
-4,4,-4,4,10
-7,7,-7,7,3
-9,5,-5,9,2
-7,7,-7,7,2
9,-9,9,-9,16,HZ
13,-13,5,-5,4,HZ
15,-15,7,-7,-2
19,-11,3,-11,4
15,-7,7,-15,4,TA
19,-11,3,-11,4
16,-14,6,-8,3
