P,D,A,M,S,
-2,2,2,-2,-2,TA
0,4,0,-4,-2
4,0,-4,0,4,HZ
1,3,-1,-3,3
0,4,-2,-2,1
-6,10,-8,4,-6
-7,9,-7,5,1,HZ
-11,5,-3,9,4
