A,P,D,M,S
3,3,-3,-3,3
-3,-3,3,3,6
-3,-3,3,3,0
-1,-5,1,5,-2
-9,3,-7,13,-8
-11,5,-5,11,2
-21,15,5,1,10
-29,23,-3,9,8
