P,A,M,D,S
4,-4,-4,4,4
8,0,-8,0,-4
2,6,-2,-6,6
3,5,-3,-5,1
11,-3,-11,3,-8
5,3,-17,9,-6
3,5,-15,7,2
-9,17,-3,-5,12
