A,P,M,D,S
1,-1,1,-1,1
-2,2,4,-4,-3
2,-2,0,0,-4
6,-6,-4,4,4
2,-10,0,8,4
-6,-2,8,0,8
-14,6,16,-8,-8
-20,0,22,-2,6
